id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0K22CCP9T,无障碍洗手间(迪斐世澳门四季名店),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.567427,22.143806,113.5623713177206,22.146761374908216
B073D0M4WH,公共厕所,公共设施;公共厕所;公共厕所,200300,嘉模堂区飞能便度街66附近,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,公共设施,公共厕所,公共厕所,113.564009,22.150922,113.5589456727384,22.15387454606816
B0K22CBF6Z,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心LG层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.566452,22.145136,113.5613942322764,22.148090346591488
B0K22CGQLR,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.566008,22.146145,113.56094924343782,22.149099022726737
B0K22CEE21,无障碍洗手间(迪斐世澳门四季名店),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.567367,22.143787,113.56231119697676,22.14674227317477
B0K22CDC95,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.566073,22.145855,113.56101439777316,22.148809015004225
B0K22C9JB3,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567366,22.143736,113.56231019818398,22.14669125155881
B0K22CIO28,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567872,22.142694,113.56281728799658,22.14564963192728
B0K22C0EEA,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.565607,22.146636,113.56054736985234,22.149589558407936
B0K22CJ3AY,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.565637,22.146634,113.56057743323623,22.14958760695548
B0K22CIGC7,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.565734,22.145987,113.5606746786428,22.148940513158497
B0K22CHLH2,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.565747,22.145973,113.56068770687858,22.14892652899253
B0K22CCX1S,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.56667,22.144234,113.56161274053942,22.14718834276481
B0K22CG3HO,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.566669,22.144272,113.5616117360602,22.14722635608406
B0K22CDTLH,无障碍洗手间(迪斐世澳门四季名店),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.567257,22.143135,113.56220101443154,22.14608984357492
